tier,formula,k,n,h,eps,solver,lambda_min,lambda_max,kappa,min_converged,max_converged,asym_rel,mass_lambda_min,svds_smin,svds_smax,svds_kappa,svds_checked,l2_err,h1_err,energy_err,cg_iters,solve_converged,assemble_time,solve_time,seed,n_dof_active,n_dof_total,quantity,slope_p,slope_R2
T1,F1,1,32.0,0.03125,0.01,S2_cg_jacobi,0.14327669150400013,17526.08002685855,122323.31611572174,True,True,4.088075955248751e-18,,,,,False,,,,58.0,True,0.3270426250001037,0.0017732080000314454,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.01,S3_cg_amg,0.14327669150400013,17526.08002685855,122323.31611572174,True,True,4.088075955248751e-18,,,,,False,,,,13.0,True,0.3270426250001037,0.004448666999905981,12345,55.0,1089.0,,,
T1,F1,1,64.0,0.015625,0.01,S1_lu,0.05679543004608185,73567.94682330395,1295314.5484348559,True,True,1.038774423504212e-17,,,,,False,0.003313085270683223,0.1208094055744588,0.12308518038708527,0.0,True,1.1421019170002182,0.00046108300011837855,12345,73.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.01,S2_cg_jacobi,0.05679543004608185,73567.94682330395,1295314.5484348559,True,True,1.038774423504212e-17,,,,,False,,,,76.0,True,1.1421019170002182,0.0028671669997493154,12345,73.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.01,S3_cg_amg,0.05679543004608185,73567.94682330395,1295314.5484348559,True,True,1.038774423504212e-17,,,,,False,,,,16.0,True,1.1421019170002182,0.012779499999851396,12345,73.0,4225.0,,,
T1-slope,F1,1,,,0.01,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.6534797804007112,0.6149913984429405
T1-slope,F1,1,,,0.01,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.2785930989539937,0.4869572971442032
T1-slope,F1,1,,,0.01,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.4190037509685487,0.8285971520543214
T1,F1,1,8.0,0.125,0.001,S1_lu,0.02165116989618173,3877.1890960536784,179075.27004983855,True,True,6.742579561395622e-18,,,,,False,0.012463070780461443,0.21273192889254158,0.3034511022680676,0.0,True,0.12187812499996653,0.00027066700022260193,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,0.001,S2_cg_jacobi,0.02165116989618173,3877.1890960536784,179075.27004983855,True,True,6.742579561395622e-18,,,,,False,,,,32.0,True,0.12187812499996653,0.0011125830001219583,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,0.001,S3_cg_amg,0.02165116989618173,3877.1890960536784,179075.27004983855,True,True,6.742579561395622e-18,,,,,False,,,,14.0,True,0.12187812499996653,0.004693041000336962,12345,29.0,81.0,,,
T1,F1,1,16.0,0.0625,0.001,S1_lu,0.039932169758148235,12087.583372396224,302702.8945736095,True,True,3.6526182397772425e-18,,,,,False,0.018503576587547782,0.28001569489899886,0.2941857320188603,0.0,True,0.13248079200002394,0.00022545899992110208,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,0.001,S2_cg_jacobi,0.039932169758148235,12087.583372396224,302702.8945736095,True,True,3.6526182397772425e-18,,,,,False,,,,47.0,True,0.13248079200002394,0.0015207500000542495,12345,43.0,289.0,,,
